"NAME","B25064_001E","state","county","tract"
"Census Tract 36.01, Denver County, Colorado","857","08","031","003601"
"Census Tract 37.01, Denver County, Colorado","941","08","031","003701"
"Census Tract 37.02, Denver County, Colorado","965","08","031","003702"
"Census Tract 43.04, Denver County, Colorado","1481","08","031","004304"
"Census Tract 50.01, Denver County, Colorado","1417","08","031","005001"
"Census Tract 55.03, Denver County, Colorado","921","08","031","005503"
"Census Tract 68.14, Denver County, Colorado","1079","08","031","006814"
"Census Tract 70.06, Denver County, Colorado","1079","08","031","007006"
"Census Tract 83.04, Denver County, Colorado","1337","08","031","008304"
"Census Tract 45.03, Denver County, Colorado","950","08","031","004503"
"Census Tract 45.04, Denver County, Colorado","1033","08","031","004504"
"Census Tract 45.05, Denver County, Colorado","1004","08","031","004505"
"Census Tract 45.06, Denver County, Colorado","813","08","031","004506"
"Census Tract 83.86, Denver County, Colorado","1372","08","031","008386"
"Census Tract 83.87, Denver County, Colorado","1256","08","031","008387"
"Census Tract 83.88, Denver County, Colorado","1391","08","031","008388"
"Census Tract 83.89, Denver County, Colorado","1860","08","031","008389"
"Census Tract 83.90, Denver County, Colorado","1543","08","031","008390"
"Census Tract 83.91, Denver County, Colorado","1504","08","031","008391"
"Census Tract 153, Denver County, Colorado","1024","08","031","015300"
"Census Tract 154, Denver County, Colorado","1197","08","031","015400"
"Census Tract 155, Denver County, Colorado","1034","08","031","015500"
"Census Tract 156, Denver County, Colorado","822","08","031","015600"
"Census Tract 19.01, Denver County, Colorado","429","08","031","001901"
"Census Tract 19.02, Denver County, Colorado","-666666666","08","031","001902"
"Census Tract 9.02, Denver County, Colorado","1091","08","031","000902"
"Census Tract 2.01, Denver County, Colorado","1206","08","031","000201"
"Census Tract 6, Denver County, Colorado","942","08","031","000600"
"Census Tract 8, Denver County, Colorado","242","08","031","000800"
"Census Tract 9.03, Denver County, Colorado","1100","08","031","000903"
"Census Tract 11.01, Denver County, Colorado","853","08","031","001101"
"Census Tract 13.01, Denver County, Colorado","1135","08","031","001301"
"Census Tract 13.02, Denver County, Colorado","1285","08","031","001302"
"Census Tract 14.02, Denver County, Colorado","1045","08","031","001402"
"Census Tract 17.02, Denver County, Colorado","1438","08","031","001702"
"Census Tract 18, Denver County, Colorado","1218","08","031","001800"
"Census Tract 21, Denver County, Colorado","978","08","031","002100"
"Census Tract 27.03, Denver County, Colorado","982","08","031","002703"
"Census Tract 28.01, Denver County, Colorado","1193","08","031","002801"
"Census Tract 26.01, Denver County, Colorado","1034","08","031","002601"
"Census Tract 28.03, Denver County, Colorado","1162","08","031","002803"
"Census Tract 55.02, Denver County, Colorado","1361","08","031","005502"
"Census Tract 70.88, Denver County, Colorado","1395","08","031","007088"
"Census Tract 70.89, Denver County, Colorado","865","08","031","007089"
"Census Tract 157, Denver County, Colorado","1070","08","031","015700"
"Census Tract 9800, Denver County, Colorado","1344","08","031","980000"
"Census Tract 9801, Denver County, Colorado","-666666666","08","031","980100"
"Census Tract 26.02, Denver County, Colorado","1395","08","031","002602"
"Census Tract 27.01, Denver County, Colorado","907","08","031","002701"
"Census Tract 120.01, Denver County, Colorado","1042","08","031","012001"
"Census Tract 32.01, Denver County, Colorado","1117","08","031","003201"
"Census Tract 38, Denver County, Colorado","1480","08","031","003800"
"Census Tract 40.02, Denver County, Colorado","2143","08","031","004002"
"Census Tract 40.04, Denver County, Colorado","1629","08","031","004004"
"Census Tract 42.01, Denver County, Colorado","1007","08","031","004201"
"Census Tract 42.02, Denver County, Colorado","1023","08","031","004202"
"Census Tract 43.06, Denver County, Colorado","1648","08","031","004306"
"Census Tract 44.04, Denver County, Colorado","895","08","031","004404"
"Census Tract 44.05, Denver County, Colorado","1375","08","031","004405"
"Census Tract 46.02, Denver County, Colorado","947","08","031","004602"
"Census Tract 48.01, Denver County, Colorado","1610","08","031","004801"
"Census Tract 70.37, Denver County, Colorado","854","08","031","007037"
"Census Tract 83.12, Denver County, Colorado","1343","08","031","008312"
"Census Tract 120.10, Denver County, Colorado","1217","08","031","012010"
"Census Tract 35, Denver County, Colorado","1019","08","031","003500"
"Census Tract 3.02, Denver County, Colorado","1023","08","031","000302"
"Census Tract 30.04, Denver County, Colorado","1085","08","031","003004"
"Census Tract 31.01, Denver County, Colorado","848","08","031","003101"
"Census Tract 2.02, Denver County, Colorado","659","08","031","000202"
"Census Tract 5.02, Denver County, Colorado","627","08","031","000502"
"Census Tract 14.01, Denver County, Colorado","714","08","031","001401"
"Census Tract 24.02, Denver County, Colorado","903","08","031","002402"
"Census Tract 36.03, Denver County, Colorado","1111","08","031","003603"
"Census Tract 39.02, Denver County, Colorado","1682","08","031","003902"
"Census Tract 40.03, Denver County, Colorado","1644","08","031","004003"
"Census Tract 46.03, Denver County, Colorado","1061","08","031","004603"
"Census Tract 1.02, Denver County, Colorado","1194","08","031","000102"
"Census Tract 3.03, Denver County, Colorado","1140","08","031","000303"
"Census Tract 4.02, Denver County, Colorado","1361","08","031","000402"
"Census Tract 9.04, Denver County, Colorado","866","08","031","000904"
"Census Tract 9.05, Denver County, Colorado","1168","08","031","000905"
"Census Tract 20, Denver County, Colorado","1622","08","031","002000"
"Census Tract 30.02, Denver County, Colorado","1518","08","031","003002"
"Census Tract 68.09, Denver County, Colorado","1222","08","031","006809"
"Census Tract 40.05, Denver County, Colorado","968","08","031","004005"
"Census Tract 32.02, Denver County, Colorado","1202","08","031","003202"
"Census Tract 34.01, Denver County, Colorado","1577","08","031","003401"
"Census Tract 34.02, Denver County, Colorado","2110","08","031","003402"
"Census Tract 40.06, Denver County, Colorado","1259","08","031","004006"
"Census Tract 41.02, Denver County, Colorado","1269","08","031","004102"
"Census Tract 43.02, Denver County, Colorado","1241","08","031","004302"
"Census Tract 43.03, Denver County, Colorado","2269","08","031","004303"
"Census Tract 47, Denver County, Colorado","984","08","031","004700"
"Census Tract 51.02, Denver County, Colorado","1077","08","031","005102"
"Census Tract 68.13, Denver County, Colorado","1114","08","031","006813"
"Census Tract 33, Denver County, Colorado","1734","08","031","003300"
"Census Tract 41.03, Denver County, Colorado","1324","08","031","004103"
"Census Tract 43.01, Denver County, Colorado","908","08","031","004301"
"Census Tract 50.02, Denver County, Colorado","988","08","031","005002"
"Census Tract 53, Denver County, Colorado","1302","08","031","005300"
"Census Tract 69.01, Denver County, Colorado","963","08","031","006901"
"Census Tract 70.13, Denver County, Colorado","1367","08","031","007013"
"Census Tract 83.05, Denver County, Colorado","1439","08","031","008305"
"Census Tract 28.02, Denver County, Colorado","916","08","031","002802"
"Census Tract 41.04, Denver County, Colorado","1217","08","031","004104"
"Census Tract 68.04, Denver County, Colorado","1687","08","031","006804"
"Census Tract 7.01, Denver County, Colorado","746","08","031","000701"
"Census Tract 31.02, Denver County, Colorado","892","08","031","003102"
"Census Tract 36.02, Denver County, Colorado","965","08","031","003602"
"Census Tract 67.01, Denver County, Colorado","1492","08","031","006701"
"Census Tract 4.01, Denver County, Colorado","989","08","031","000401"
"Census Tract 24.03, Denver County, Colorado","1025","08","031","002403"
"Census Tract 119.02, Denver County, Colorado","1129","08","031","011902"
"Census Tract 7.02, Denver County, Colorado","799","08","031","000702"
"Census Tract 27.02, Denver County, Colorado","1106","08","031","002702"
"Census Tract 39.01, Denver County, Colorado","1813","08","031","003901"
"Census Tract 120.14, Denver County, Colorado","1228","08","031","012014"
"Census Tract 29.01, Denver County, Colorado","1265","08","031","002901"
"Census Tract 30.01, Denver County, Colorado","1081","08","031","003001"
"Census Tract 30.03, Denver County, Colorado","1294","08","031","003003"
"Census Tract 37.03, Denver County, Colorado","1020","08","031","003703"
"Census Tract 44.03, Denver County, Colorado","1251","08","031","004403"
"Census Tract 51.04, Denver County, Colorado","967","08","031","005104"
"Census Tract 52, Denver County, Colorado","1463","08","031","005200"
"Census Tract 68.12, Denver County, Colorado","1391","08","031","006812"
"Census Tract 83.06, Denver County, Colorado","950","08","031","008306"
"Census Tract 119.03, Denver County, Colorado","1296","08","031","011903"
"Census Tract 3.01, Denver County, Colorado","1140","08","031","000301"
"Census Tract 10, Denver County, Colorado","1011","08","031","001000"
"Census Tract 14.03, Denver County, Colorado","1242","08","031","001403"
"Census Tract 15, Denver County, Colorado","900","08","031","001500"
"Census Tract 17.01, Denver County, Colorado","1759","08","031","001701"
"Census Tract 29.02, Denver County, Colorado","1543","08","031","002902"
"Census Tract 41.01, Denver County, Colorado","1009","08","031","004101"
"Census Tract 46.01, Denver County, Colorado","1270","08","031","004601"
"Census Tract 68.10, Denver County, Colorado","1186","08","031","006810"
"Census Tract 68.11, Denver County, Colorado","1102","08","031","006811"
"Census Tract 5.01, Denver County, Colorado","1636","08","031","000501"
"Census Tract 11.02, Denver County, Colorado","1712","08","031","001102"
"Census Tract 16, Denver County, Colorado","1750","08","031","001600"
"Census Tract 23, Denver County, Colorado","1091","08","031","002300"
"Census Tract 32.03, Denver County, Colorado","1769","08","031","003203"
"Census Tract 41.06, Denver County, Colorado","1826","08","031","004106"
"Census Tract 41.07, Denver County, Colorado","1547","08","031","004107"